District,Division,Area,Club,Club Name,New,Late Ren.,Oct. Ren.,Apr. Ren.,Total Ren.,Total Chart,Total to Date,Distinguished Status,Charter Date/Suspend Date,date,link
98,N,01,07825941,YCCE Verbalisers Toastmasters Club,10,0,10,20,30,0,40,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,01,07911256,Raipur Toastmasters Club,9,0,23,19,42,0,51,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,02,00992337,Raisoni Institute's Emerald Toastmasters Club,19,0,26,16,42,0,61,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,02,03531688,Nagpur Toastmasters Club,9,0,17,15,32,0,41,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,02,05757009,IIM Nagpur Toastmasters Club,16,0,20,7,27,0,43,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,02,07811085,InfoCepts Toastmasters Club,6,0,11,0,11,0,17,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,03,05742286,IIM Raipur Toastmasters Club,18,0,4,9,13,0,31,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,03,07185394,SSIPMT Spellbinders,10,0,10,13,23,0,33,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,03,07735020,Loyal Toastmasters Club,12,0,15,16,31,0,43,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,04,05762025,IMT Nagpur Toastmasters Club,12,0,7,5,12,0,24,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,04,07073592,Gurukul.Education Toastmasters Club,5,0,17,12,29,0,34,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,04,07289583,Raisoni Institute's Brio Toastmasters Club,14,0,11,8,19,0,33,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,N,04,07429657,Rungta Toastmasters Club,9,0,12,7,19,0,28,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,01,06539289,UBS Pune Toastmasters Club,17,0,16,23,39,0,56,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,01,06592020,Deutsche Bank Pune Toastmasters Club,20,0,16,8,24,0,44,D,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,01,06885728,SgAs Toastmasters Club,1,0,10,0,10,0,11,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,01,07448369,Toastmasters for Pune Entrepreneurs 2.0,19,0,25,21,46,0,65,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,01,07922639,John Deere Pune Toastmasters 3.0,11,0,20,15,35,16,62,D,Charter 09/27/21,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,02,02571105,Opulent Toastmasters Club Of Pune Camp,13,0,11,11,22,0,35,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,02,06716037,Aurangabad Toastmasters,9,0,14,13,27,0,36,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,02,07757012,Toastmasters Club of BMC Software Customer Success,29,0,25,22,47,0,76,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,02,07870960,Mastering Leadership TMC,16,0,24,21,45,0,61,D,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,03,05027867,Tietoevry Toastmasters Club,9,0,19,13,32,0,41,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,03,06642875,Toastmasters Club of Pune South,13,0,17,17,34,0,47,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,03,06783455,BNY Mellon - Pune Commerzone,16,0,7,9,16,0,32,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,03,07860776,Cadence Sparkling Toastmasters Club,5,0,17,6,23,0,28,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,04,02150212,TSYS Pune Toastmasters Club,10,0,9,7,16,0,26,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,04,02973814,Toastmasters Club of Pune - North East,33,0,20,21,41,0,74,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,04,03700901,Toastmasters Club of BMC Software,11,0,13,10,23,0,34,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,O,04,07850062,STL Toastmaster Club,4,0,7,6,13,0,17,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,01,01141787,Toastmasters Club of Pune,29,0,25,26,51,0,80,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,01,07470706,Pune Marathi Toastmasters Club,11,0,14,14,28,0,39,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,01,07843205,Kolhapur Toastmasters Club,10,0,15,14,29,0,39,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,01,07870821,Druva Toastmasters Club,10,0,9,0,9,0,19,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,02,01534609,Toastmasters Club of Pune-West,27,0,28,29,57,0,84,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,02,05820914,Accenture Pune Toastmasters Club,3,0,3,0,3,0,6,, Susp 03/31/22,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,02,05970302,Cummins Pune Toastmasters Club,10,0,11,7,18,0,28,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,02,06974223,Sinhgad Toastmasters Club,6,0,21,11,32,0,38,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,03,02541278,Toastmasters Club Of Pune-Central,12,0,20,11,31,0,43,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,03,06641278,3DS Pune Toastmasters Club,14,0,16,14,30,0,44,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,03,07771017,Fintree Toastmasters Club For Finance Professionals,6,0,5,3,8,0,14,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,03,07811400,Rainbow Toastmasters Club,10,0,17,14,31,0,41,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,04,05294613,Pune Advanced Toastmasters Club,13,0,26,25,51,0,64,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,04,05979643,e-Zest Toastmasters Club,10,0,7,4,11,0,21,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,04,06941712,Toastmasters Club of Nashik,1,0,17,9,26,0,27,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,04,07669989,CRISIL Pune Toastmasters Club,4,0,5,1,6,0,10,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,04,07894528,Moog Toastmasters Club of Pune,1,0,21,0,21,0,22,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,05,05163301,Deccan Toastmasters Club,19,0,31,34,65,0,84,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,05,07434850,Atlas Copco Gecia Toastmasters Club,22,0,13,13,26,0,48,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,05,07711836,Cisco Eloquence Toastmasters Club,3,0,10,8,18,0,21,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,P,05,07798218,Toastmasters For Global Entrepreneurs,1,0,13,10,23,0,24,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,01,07065798,Sobo Toastmasters,29,0,30,37,67,0,96,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,01,07290320,UPL Toastmasters Club,20,0,12,10,22,0,42,S,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,01,07774241,Evergreen Toastmasters Club,9,0,12,10,22,0,31,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,01,07874066,All Elite Advanced Toastmasters Club,5,0,17,20,37,0,42,S,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,02,00993448,Mumbai Toastmasters,105,0,67,86,153,0,258,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,02,07700494,CIPLA Toastmasters,14,0,20,17,37,0,51,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,02,07807819,The Talking Tree,0,0,18,0,18,0,18,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,02,07861075,Hindalco Toastmasters Club,15,0,22,23,45,0,60,D,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,02,07903431,SP Jain Toastmasters Club Mumbai,9,0,28,8,36,0,45,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,02,07990694,Millennial Toastmasters,0,0,0,0,0,20,20,,Charter 04/04/22,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,03,03217489,DADAR Toastmasters Club,10,0,14,10,24,0,34,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,03,06886479,BKC Fireflies Toastmasters,6,0,13,14,27,0,33,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,03,07709516,Acuris Mumbai Toastmasters,13,0,3,13,16,0,29,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,03,07829534,Toastmasters Club For Mumbai CAs,5,0,4,7,11,0,16,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,04,07434194,UltraTech Toastmasters Club,0,0,11,10,21,0,21,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,04,07549134,Andheri Orators Toastmasters,13,0,25,15,40,0,53,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,04,07655880,GIA Toastmaster - India,0,0,8,8,16,0,16,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,04,07677706,Santacruz Speakers Toastmasters Club,18,0,22,26,48,0,66,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,04,07833944,Marico Toastmasters,0,0,16,0,16,0,16,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,04,07965605,Collaborate Create Celebrate,0,0,0,20,20,20,40,,Charter 01/13/22,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,S,04,07975041,Alembic Toastmasters Club,0,0,0,20,20,20,40,,Charter 02/14/22,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,01,01246728,Mulund Toastmasters Club,25,0,42,49,91,0,116,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,01,05105254,Stellar Toastmasters Club,6,0,13,13,26,0,32,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,01,07289546,Expedition Toastmasters Mumbai,36,0,14,12,26,0,62,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,01,07854983,VJTI Toastmasters Club,2,0,8,1,9,0,11,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,01,07886509,Apollo India,11,0,39,17,56,0,67,D,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,02,04764579,JPMC Powai Toastmasters,1,0,17,9,26,0,27,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,02,05748839,Somaiya Toastmasters Club,19,0,20,14,34,0,53,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,02,06578723,Schindler Toastmasters Powai (STM Powai),3,0,14,15,29,0,32,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,02,07854767,Eloquent Elites,4,0,21,8,29,0,33,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,03,02017422,Thane Toastmasters Club,22,0,20,15,35,0,57,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,03,02798803,NITIE Toastmasters Club,0,0,0,0,0,0,0,, Susp 10/01/21,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,03,07297859,CRISIL Toastmasters,3,0,7,0,7,0,10,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,03,07581427,Teradata Mumbai Toastmasters Club,5,0,20,20,40,0,45,D,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,03,07881091,STL NIM Toastmasters Club,0,0,18,0,18,0,18,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,03,07963095,Merck Healthcare India Toastmasters Club,0,0,0,48,48,48,96,,Charter 02/01/22,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,04,00616631,TCS Maitree Toastmasters Club,48,0,36,45,81,0,129,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,04,02017514,General Mills India Toastmasters Club,6,0,16,22,38,0,44,D,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,04,03349716,Powai Toastmasters Club,10,0,15,17,32,0,42,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,04,06649866,TYHO SDA Bocconi,21,0,10,9,19,0,40,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,U,04,07749915,"L&T Toastmasters Club, Powai Chapter",32,0,25,26,51,0,83,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,01,01214543,GOA YMCA Toastmasters Club,9,0,15,15,30,0,39,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,01,04361333,Mapusa Toastmasters,12,0,13,16,29,0,41,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,01,06941455,Tangentia Toastmasters,17,0,13,14,27,0,44,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,01,07708785,Teva Goa Toastmasters Club,0,0,0,0,0,0,0,, Susp 03/31/22,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,02,02575847,Toastmasters International Margao,4,0,8,6,14,0,18,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,02,03214306,International Centre GOA (ICG) Toastmasters Club,18,0,33,28,61,0,79,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,02,07783728,Ponda Toastmasters Club,0,0,4,0,4,0,4,, Susp 03/31/22,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,03,06656843,Ana Fonte Toastmasters Club,4,0,10,8,18,0,22,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,03,07441712,Siemens Goa Toastmasters Club,0,0,0,0,0,0,0,, Susp 03/31/22,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,03,07783722,Vasco Toastmasters Club,6,0,14,5,19,0,25,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,04,01114159,Eaton Toastmasters Club,28,0,4,15,19,0,47,D,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,04,06746425,NT India Pune Toastmasters Club,24,0,12,6,18,0,42,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,04,07166870,PTC Marisoft Toastmasters Club,8,0,19,9,28,0,36,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,04,07856700,EHI Toastmasters Club,7,0,8,6,14,0,21,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,05,05094604,Citi eXpressions Toastmasters Club,8,0,9,11,20,0,28,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,05,06090346,Toastmasters Club of Allscripts Pune,3,0,10,6,16,0,19,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,05,07084394,Impressions Toastmasters,1,0,10,3,13,0,14,,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,05,07300474,Kharadi Toastmasters Club,16,0,26,27,53,0,69,P,,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
98,W,05,07985954,Raisoni Ace Toastmasters Club,0,0,0,20,20,20,40,,Charter 03/24/22,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
Month of May, As of 06/01/2022,2022-06-03,http://dashboards.toastmasters.org/District.aspx?id=98
